paper_id;name;year
8381840;Industrial Management and Data Systems;2016
8408444;Nordic Journal of Computing;2006
8449307;Queueing Systems;1998
8454456;Journal of Intelligent and Fuzzy Systems;2015
8490009;Queueing Systems;1999
8517183;Intelligence/sigart Bulletin;1988
8587209;Studies in health technology and informatics;2013
8623215;Acta Cybernetica;2012
8625731;Order;2000
8675303;Journal of Global Optimization;1998
8679120;Mathematical Programming;2003
8719666;Fundamenta Informaticae;2013
8800403;Computing;1979
8813505;International Journal of Speech Technology;2000
8815242;Journal of Intelligent and Robotic Systems;1998
8845214;International Journal of Intelligent Systems;2001
8866102;Ars Combinatoria;1999
8910829;Fundamenta Informaticae;1996
8944799;Numerical Algorithms;2000
9021291;Advances in Computers;1985
9022867;International Journal of Speech Technology;2000
9026421;Applied Ontology;2012
9035906;Wirtschaftsinformatik und Angewandte Informatik;2012
9053864;Communications of The Ais;2007
9061855;Electronic Colloquium on Computational Complexity;2007
9080237;Reliable Computing;2001
9098371;Acta Cybernetica;2004
9162323;Journal of Universal Computer Science;2008
9166514;Quantum Information & Computation;2014
9178142;International Journal of Wireless Information Networks;2000
9180214;Annals of Operations Research;2000
9181614;Communications of The Ais;2005
9198038;Transportation Science;2016
9229288;Annales Des Télécommunications;2004
9245986;Advances in Computers;2012
9290197;Elektrotechnik Und Informationstechnik;2011
9296126;Computational Optimization and Applications;2001
9324657;Computing;1994
9333331;Discrete Mathematics & Theoretical Computer Science;2004
9340065;Science in China Series F: Information Sciences;2005
9358079;Wireless Personal Communications;2001
9403874;Annals of Operations Research;1998
9412952;Journal of Universal Computer Science;2010
9532344;SIAM Journal on Matrix Analysis and Applications;2016
9616141;Computing;1972
9623391;Annals of Operations Research;2003
9645303;Informatica (lithuanian Academy of Sciences);2009
9664036;Distributed Computing;2018
9668009;Journal of Intelligent Manufacturing;2000
9715319;Management Information Systems Quarterly;2014
9785351;Journal of Philosophical Logic;1980
9793924;Journal of Universal Computer Science;2002
9794753;Informatica (slovenia);2001
9811568;Queueing Systems;1998
9957747;Information Processing Letters;1989
10040640;Reliable Computing;2001
10065857;International Journal of Computer Vision;1997
10072121;Lecture Notes in Computer Science;2011
10105891;Journal of Combinatorial Theory, Series B;1996
10118043;Advances in Computational Mathematics;2002
10124741;Journal of Chinese Language and Computing;2005
10145181;Presence: Teleoperators & Virtual Environments;1994
10147339;Electronic Communication of The European Association of Software Science and Technology;2007
