paper_id;author_id
3787346;1891193440
3787346;2015036197
3834434;68196129
3851596;22492467
3851596;2097547839
3866497;2061289329
3866497;2024433232
3895791;2161654796
3895791;2155727482
3895791;2950032533
3908520;2541669689
3908520;362973691
3908520;2506545195
3939803;2150589869
3939803;2131525672
3939803;2146529142
3990379;2129148699
3990379;2157812912
3990379;2098005174
4017481;2167661122
4017481;2973655952
4017481;2199015853
4017481;1982299596
4017481;2196148187
4032102;2722534056
4032102;2281572080
4044073;2978485493
4044073;272559230
4050249;123188586
4113630;2666148632
4113630;2985970134
4113630;1269325118
4113630;2985330595
4113630;2021898100
4113630;376618808
4113630;2649022742
4132344;1967622095
4132344;1995691248
4134953;2560500549
4134953;2170386873
4153462;2110052242
4153462;717319686
4165075;2122134999
4165075;2118097631
4165075;2121440077
4165075;2096618501
4165075;2121329180
4165616;1642000187
4165616;1927480675
4165616;1976277857
4166088;2128956250
4166809;10841305
4166809;1977435510
4166809;725813147
4184584;2162765014
4184584;1975255980
4184584;2427034963
4184584;1926761071
4191512;2118386840
4191512;318613250
4191512;2129242156
4192155;2108722762
4192155;2147946050
4192155;2500727161
4192155;2286696482
4208942;2145860346
4215287;2949885691
4215287;2688319911
4215287;1984497594
4215287;2114033322
4274974;2299631568
4274974;2101887950
4274974;2209481840
4310203;2126304162
4339657;2017741137
4339657;2251055604
4339657;1967517565
4348901;2127763315
4358642;2331228694
4358642;225188123
4358642;2698192719
4358824;2098939585
4367799;10237168
4367799;2143446682
4367799;1994279404
4367799;2131773813
4367799;2152130529
4375311;2923832455
4412456;2152282065
4412456;1979071964
4412456;2133649610
4446879;2157108438
4472531;207506791
4513054;2073161064
4513054;2134397035
4513054;2122019980
4549351;1937311917
4549351;2690453848
4593459;2337700051
4593459;2943800648
4593459;2108883248
4593459;2032877454
4593459;2099447183
4619260;2120001722
4619260;2090205780
4619260;2406827030
4619260;1116814926
4619260;2974529394
4650715;318294587
4650715;2304982289
4650715;2239221176
4650715;2108019135
4664959;2240677722
4664959;2133894727
4664959;1977083973
4670718;2309231100
4670718;1209396428
4684357;2144753542
4684357;2042825844
4684357;2278210081
4797066;2132380264
4797066;2044440531
4797066;1981559165
4797066;148675920
4797066;1241811241
4806451;2646358896
4806451;2055636106
4806451;2149434754
4806451;2116491809
4806451;2171358844
4806451;2149450993
4806451;2025299455
4806451;2145438006
4806451;2296065211
4806451;806245018
4877500;733625701
4877500;2714801722
4877809;2146057484
4888557;2117794435
4888557;2126052280
4888557;2680475869
4925844;1958120697
4925844;2630593530
4925844;2223051483
4925844;2793433465
4925844;2142947446
4930815;2282456871
4930815;2112675595
4930815;2407455571
4930815;2103920730
4958369;2056241249
4958369;2950976732
4969023;2171091228
4969023;2051345535
4983780;2302995568
4983780;2125315204
4983780;2169057019
4983780;2159891204
4983780;2045358941
4983780;2422553017
4986985;1990366691
5004103;2004354602
5004103;2040918890
5006391;2140071930
5006391;2578605818
5006391;2146473740
5014922;2954981301
5024876;2148471706
5024876;2103588732
5024876;2157264513
5091314;154019569
5137927;1996020375
5137927;2123944830
5137927;2572608650
5137927;128757622
5146725;1501542852
5146725;2636485393
5146725;83938360
5151268;2252167549
5151268;1980872332
5210191;2949604003
5210191;2343771807
5210191;2172359306
5210191;2107624838
5210191;2140814143
5210191;2919920671
5211023;1951053784
5211023;2710194729
5211023;1996010420
5211023;1995409599
5251991;2310824954
5251991;2118264585
5251991;2119757655
5304494;2119795760
5304494;400262344
5364006;76890472
5364006;2308189942
5364006;2570964512
5385442;2175480148
5385442;1168079842
5387978;2609683898
5387978;675310356
5387978;2399396600
5402935;2309269239
5402935;2690042764
5414421;2055047545
5414421;1965023637
5414421;2157328275
5414421;2178793527
5422347;2048104311
5422347;2764738579
5430021;2114980561
5430021;2403767874
5486890;717015068
5501080;2498611038
5536954;2192580104
5536954;2236047259
5551006;2294613566
5551006;2164774566
5585804;2006378828
5585804;2028913426
5585804;2277076782
5606278;2341582683
5606278;1932616307
5606278;2308720011
5606278;2047440685
5641948;1520404162
5683847;2096587187
5699724;45777830
5699724;2558501981
5699724;2058835159
5699724;1975255980
5699724;2134264949
5699724;2063294008
5699724;718414647
